pair_id,trial,participant,moving,fixed,overlap,bone_dice_at_reference,condition,repeat,seed,method,init_mtre_mm,mtre_mm,success,improved,residual_translation_mm,residual_rotation_deg,dice,ncc,seconds,converged
PA001_trial_A_V10-V11,PA001_trial_A,PA001,10,11,0.7844,0.3409,MEDIUM,1,909005400,anatomy,3.9621,4.4216,True,False,1.9349,6.0157,0.5513,0.7872,0.229,True
PA001_trial_A_V10-V11,PA001_trial_A,PA001,10,11,0.7844,0.3409,MEDIUM,2,670780604,intensity,2.4741,10.7306,False,False,8.7776,10.6166,0.1784,0.8829,4.594,True
PA001_trial_A_V10-V11,PA001_trial_A,PA001,10,11,0.7844,0.3409,MEDIUM,2,670780604,anatomy,2.4741,4.42,True,False,1.9357,6.0138,0.5508,0.7872,0.229,True
PA001_trial_A_V10-V11,PA001_trial_A,PA001,10,11,0.7844,0.3409,HARD,0,409569795,intensity,9.0074,10.7236,False,False,8.7591,10.5578,0.1752,0.8829,4.759,True
PA001_trial_A_V10-V11,PA001_trial_A,PA001,10,11,0.7844,0.3409,HARD,0,409569795,anatomy,9.0074,4.4464,True,True,2.0019,6.0041,0.5533,0.7881,0.424,True
PA001_trial_A_V10-V11,PA001_trial_A,PA001,10,11,0.7844,0.3409,HARD,1,1400682681,intensity,6.1685,10.7351,False,False,8.7867,10.5697,0.1754,0.883,4.48,True
PA001_trial_A_V10-V11,PA001_trial_A,PA001,10,11,0.7844,0.3409,HARD,1,1400682681,anatomy,6.1685,4.42,True,True,1.9357,6.0138,0.5508,0.7872,0.19,True
PA001_trial_A_V10-V11,PA001_trial_A,PA001,10,11,0.7844,0.3409,HARD,2,671134132,intensity,9.1847,10.732,False,False,8.7364,10.5759,0.1764,0.8827,3.316,True
PA001_trial_A_V10-V11,PA001_trial_A,PA001,10,11,0.7844,0.3409,HARD,2,671134132,anatomy,9.1847,4.4412,True,True,2.0047,5.9957,0.5535,0.7882,0.439,False
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,EASY,0,231558882,intensity,0.8562,1.6008,True,False,1.1036,1.7222,0.397,0.8825,3.839,True
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,EASY,0,231558882,anatomy,0.8562,8.3555,False,False,3.3373,11.7442,0.5144,0.7513,0.222,True
